
29/5/2019 16:21:38 UTC    INIT: Node.js server listening on 8080

29/5/2019 16:24:54 UTC         NEW OPERATION: File Recieved from 140.82.115.69:::1
29/5/2019 16:24:54 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=09a31744c844963bb9990419cc4e88f6c0235098
29/5/2019 16:24:54 UTC              JSON: GitHub user "DannoPeters" (This Server) pushed to DannoPeters/Repo-A
29/5/2019 16:24:54 UTC              JSON: No further action will be taken (Prevents accidental push loop)

29/5/2019 16:26:3 UTC         NEW OPERATION: File Recieved from 140.82.115.12:::1
29/5/2019 16:26:3 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=63086fd2a9cca59c119f328d1cb40f7a51ac1887
29/5/2019 16:26:3 UTC              JSON: GitHub user "Bookem306" pushed to DannoPeters/Repo-A
29/5/2019 16:26:3 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A && git pull
29/5/2019 16:26:7 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git pull
29/5/2019 16:26:9 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.dat.adw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/
29/5/2019 16:26:9 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git add --all
29/5/2019 16:26:10 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git commit -m "User: Bookem306   Message:**Test** Push of single hdw file to git repoA"
29/5/2019 16:26:10 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git push
29/5/2019 16:26:13 UTC              STACK: previos repo data pushed to queue

29/5/2019 16:26:14 UTC         NEW OPERATION: File Recieved from 140.82.115.69:::1
29/5/2019 16:26:14 UTC              JSON: WebHook DannoPeters/Repo-B Signature Verified: sha1=da6cbe6bf27b6288c08aa00f9d20c6db499efaa9
29/5/2019 16:26:14 UTC              JSON: GitHub user "DannoPeters" (This Server) pushed to DannoPeters/Repo-B
29/5/2019 16:26:14 UTC              STACK: previos repo data retrieved from queue
29/5/2019 16:26:14 UTC              CONFIRM: Git Sync between DannoPeters/Repo-A and DannoPeters/Repo-B was sucessful :-)

29/5/2019 17:1:33 UTC         NEW OPERATION: File Recieved from 140.82.115.9:::1
29/5/2019 17:1:33 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=ae3ece8650795ade8c395d20bebea53ca947fc1a
29/5/2019 17:1:33 UTC              JSON: GitHub user "Bookem306" pushed to DannoPeters/Repo-A
29/5/2019 17:1:33 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A && git pull
29/5/2019 17:1:34 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git pull
29/5/2019 17:1:36 UTC              SYNC: Only changes to files of type "hdw" found outside of /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/
29/5/2019 17:1:36 UTC              SYNC: No Push to /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B Required

29/5/2019 17:2:33 UTC         NEW OPERATION: File Recieved from 140.82.115.15:::1
29/5/2019 17:2:33 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=99ae9e57844d550c2a494f7e6d6eef411c4d8e9f
29/5/2019 17:2:33 UTC              JSON: GitHub user "Bookem306" pushed to DannoPeters/Repo-A
29/5/2019 17:2:35 UTC              SYNC: No Push to /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B Required
29/5/2019 17:2:33 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A && git pull
29/5/2019 17:2:34 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git pull
29/5/2019 17:2:35 UTC              SYNC: No changes to files of type "hdw" found in push

29/5/2019 17:2:59 UTC         NEW OPERATION: File Recieved from 140.82.115.70:::1
29/5/2019 17:2:59 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=33a06a998cc9eaf27b133825f6792110627266cc
29/5/2019 17:2:59 UTC              JSON: GitHub user "Bookem306" pushed to DannoPeters/Repo-A
29/5/2019 17:2:59 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A && git pull
29/5/2019 17:3:0 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git pull
29/5/2019 17:3:1 UTC              SYNC: No changes to files of type "hdw" AND no chnges found in /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/
29/5/2019 17:3:1 UTC              SYNC: No Push to /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B Required

29/5/2019 17:5:2 UTC         NEW OPERATION: File Recieved from 140.82.115.69:::1
29/5/2019 17:5:2 UTC              JSON: WebHook DannoPeters/Repo-A Signature Verified: sha1=5f09f9763ab17787c152b775377ed72e157d7031
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/README.md /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:2 UTC              JSON: GitHub user "Bookem306" pushed to DannoPeters/Repo-A
29/5/2019 17:5:2 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A && git pull
29/5/2019 17:5:7 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git pull
29/5/2019 17:5:10 UTC              ERROR: Copy Command failed, Attempting to recursive copy directory
